InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
   14870000      27.744478  2.598368e-06      6572.227038        56.223960      6529.217002        71.912089  0.48  0.22471
   14880000      27.673529  2.521924e-06      6569.636745        56.538891      6620.574520        71.841424  0.46  0.22624
   14890000      27.603087  2.595883e-06      6640.080637        49.844734      6626.132689        71.567907  0.34  0.21499
   14900000      27.532402  2.592641e-06      6645.562072        48.219651      6678.194301        71.346450  0.56  0.20914
   14910000      27.462082  2.567438e-06      6651.365222        59.826170      6681.977250        71.222477  0.48  0.22471
   14920000      27.391858  2.604560e-06      6621.640127       115.142193      6659.479574        71.002623  0.45  0.22664
   14930000      27.321515  2.618469e-06      6717.229939        68.786902      6670.398749        70.693300  0.43  0.22671
   14940000      27.250992  2.626083e-06      6691.407855        43.134188      6661.457104        70.440597  0.45  0.22664
   14950000      27.180910  2.570116e-06      6577.866548        70.873908      6554.070955        70.332422  0.41  0.22582
   14960000      27.110935  2.497595e-06      6576.829019       100.480759      6490.998082        70.191678  0.48  0.22471
   14970000      27.041489  2.526368e-06      6669.129351       133.168035      6576.464821        70.021223  0.49  0.22358
   14980000      26.972379  2.599569e-06      6742.179982        40.157372      6715.762057        69.947660  0.44  0.22680
   14990000      26.903476  2.393423e-06      6588.586817        65.026984      6622.991879        69.879018  0.45  0.22664
   15000000      26.835185  2.572097e-06      6558.746142        87.941420      6547.899134        69.834149  0.41  0.22582
   15010000      26.767372  2.542420e-06      6472.324871        75.857058      6510.075814        69.728215  0.44  0.22680
   15020000      26.699751  2.552360e-06      6569.727324       133.526103      6487.622375        69.620052  0.36  0.21930
   15030000      26.632610  2.544349e-06      6437.495887        34.296041      6422.464647        69.446877  0.45  0.22664
   15040000      26.565732  2.547655e-06      6488.088399        36.348946      6472.619390        69.242902  0.47  0.22559
   15050000      26.498598  2.558858e-06      6536.358915        84.017217      6459.994781        69.084518  0.45  0.22664
   15060000      26.431933  2.551814e-06      6567.791738        96.436002      6487.836118        68.926000  0.51  0.22062
   15070000      26.365455  2.555982e-06      6454.568568        58.490751      6510.068806        68.770507  0.39  0.22394
   15080000      26.299234  2.417299e-06      6582.935889       125.404628      6475.724406        68.652405  0.40  0.22500
   15090000      26.233067  2.559597e-06      6496.267452        62.055438      6533.130760        68.393203  0.43  0.22671
   15100000      26.167207  2.533423e-06      6388.922653        61.385931      6436.774408        68.334189  0.46  0.22624
   15110000      26.101387  2.533751e-06      6456.027832        62.769318      6463.582748        68.070263  0.42  0.22639
   15120000      26.035650  2.560168e-06      6546.497990        43.973648      6529.100779        67.863689  0.45  0.22664
   15130000      25.970192  2.558489e-06      6495.953148        96.586083      6540.349054        67.710555  0.40  0.22500
   15140000      25.904878  2.563146e-06      6534.456019        54.798538      6562.108743        67.505972  0.49  0.22358
   15150000      25.839441  2.544410e-06      6440.817369       135.179868      6538.934012        67.294767  0.44  0.22680
   15160000      25.774143  2.567495e-06      6557.709797        33.169908      6552.068476        67.069453  0.41  0.22582
   15170000      25.708908  2.569185e-06      6534.982655        16.036626      6526.173515        66.917815  0.42  0.22639
   15180000      25.643765  2.513333e-06      6546.407617        36.527801      6519.095973        66.693074  0.34  0.21499
   15190000      25.578547  2.577226e-06      6498.800936        40.672665      6479.139323        66.436483  0.42  0.22639
   15200000      25.513588  2.561274e-06      6474.599978        91.964192      6479.386414        66.327868  0.51  0.22062
   15210000      25.448790  2.571660e-06      6502.748157        66.601388      6488.869428        66.149101  0.41  0.22582
   15220000      25.384025  2.546221e-06      6470.272376        64.727388      6461.458595        65.887605  0.50  0.22222
   15230000      25.319266  2.589202e-06      6541.310225        42.176288      6506.055960        65.717055  0.35  0.21726
   15240000      25.254716  2.538896e-06      6465.200033       103.178779      6521.043527        65.616124  0.36  0.21930
   15250000      25.190297  2.593365e-06      6592.423619        77.214806      6523.306626        65.335092  0.44  0.22680
   15260000      25.125904  2.592273e-06      6464.542137        82.837738      6540.963545        65.191776  0.43  0.22671
   15270000      25.061599  2.550552e-06      6555.407335       125.225731      6483.575213        65.015389  0.51  0.22062
   15280000      24.997750  2.478030e-06      6511.518938        22.469210      6509.397977        64.883729  0.44  0.22680
   15290000      24.933784  2.606971e-06      6547.953438        55.627252      6524.247860        64.609444  0.41  0.22582
